#	单字
后	hsq
厚	hsqa
堠	hsqb
喉	hsr
吼	hsra
骺	hsz
斛	htc
轷	htca
护	htd
戏	htda
核	hte
葫	htea
糊	hteb
笏	htec
槲	hted
鹄	htf
鹕	htfa
鹘	htfb
鹱	htfc
醐	htg
户	hth
扈	htha
戽	hthb
蝴	htj
忽	htk
惚	htka
烀	htkb
煳	htkc
怙	htkd
狐	htl
猢	htla
湖	htn
浒	htna
沪	htnb
滹	htnc
冱	htnd
弧	htp
祜	htpa
瑚	htq
琥	htqa
岵	htqb
呼	htr
唿	htra
和	htrb
唬	htrc
觳	htt
瓠	htu
乎	htv
互	htva
胡	htw
虎	htx
壶	htxa
囫	hty
夯	hua
徨	hub
遑	huba
航	huc
荒	hue
杭	huea
篁	hueb
簧	huec
蝗	huj
蟥	huja
鳇	hujb
黄	huk
慌	huka
皇	hukb
惶	hukc
煌	hukd
恍	huke
沆	hun
湟	huna
潢	hunb
凰	hup
癀	hupa
磺	huq
珩	huqa
璜	huqb
隍	huqc
谎	hur
吭	hura
幌	hus
绗	husa
肓	hut
颃	huu
晃	huw
行	huy
巷	huz
还	hzb
醢	hzg
害	hzh
骇	hzl
海	hzn
嗨	hzr
嘿	hzra
咳	hzrb
胲	hzt
孩	hzu
亥	hzua
氦	hzw
骸	hzz
艄	iac
捎	iad
芍	iae
稍	iaea
梢	iaeb
筲	iaec
苕	iaed
杓	iaee
劭	iai
蛸	iaj
烧	iak
少	ian
潲	iana
召	iar
哨	iara
韶	iarb
勺	ias
绍	iasa
鞘	iat
邵	iay
搠	ibd
槊	ibe
蒴	ibea
烁	ibk
妁	ibm
数	ibp
铄	ibq
说	ibr
硕	ibu
朔	ibw
谁	id
舍	iea
奢	ieaa
佘	ieab
射	ied
摄	ieda
折	iedb
蛇	iej
赊	ieja
慑	iek
麝	iel
猞	iela
涉	ien
滠	iena
社	iep
赦	iepa
厍	ieq
舌	ier
设	iera
歙	iew
畲	iey
耍	igm
刷	igo
唰	igr
摔	ihd
蟀	ihj
帅	ihsa
衰	ihu
率	ihua
甩	ihv
跚	ijb
舢	ijc
掺	ijd
掸	ijda
擅	ijdb
杉	ije
栅	ijea
芟	ijeb
苫	ijec
髟	ijf
闪	ijh
扇	ijha
赡	ijj
蟮	ijja
鳝	ijjb
煽	ijk
善	ijl
骟	ijla
姗	ijm
嬗	ijma
单	ijn
汕	ijna
潸	ijnb
删	ijo
剡	ijoa
禅	ijp
疝	ijpa
